chebi_id	children_count	depth[,]
CHEBI:2628	0	8, 9
CHEBI:2627	0	7, 8, 9
CHEBI:2620	0	8, 9, 10, 11, 12, 13, 14
CHEBI:2622	0	9, 10, 11, 12
CHEBI:2621	0	9, 11
CHEBI:2637	0	9, 10, 11, 12, 13, 15
CHEBI:2636	0	9, 11
CHEBI:2634	51	6
CHEBI:2639	0	9, 10, 11
CHEBI:2638	0	9, 10, 12, 13
CHEBI:2631	0	6
CHEBI:2630	1	7, 8, 9, 10, 11
CHEBI:67010	0	9, 10, 11, 12
CHEBI:67012	0	9, 10, 11, 12
CHEBI:67011	12	9, 10, 11, 12
CHEBI:67014	2	10, 11, 12, 13
CHEBI:67013	0	9, 10, 12
CHEBI:67004	0	9, 10, 11
CHEBI:67005	0	9, 10, 11
CHEBI:67006	0	9, 10, 11
CHEBI:67007	0	9, 10, 11
CHEBI:67008	1	8, 9, 10, 11
CHEBI:67009	0	9, 10, 11, 12
CHEBI:2619	0	9, 10
CHEBI:2618	0	8, 10, 11, 12
CHEBI:2617	0	16, 8, 9, 10, 11, 12, 13, 14, 15
CHEBI:2611	0	7, 8, 9, 11
CHEBI:67003	0	9, 10, 11
CHEBI:67002	0	11, 13
CHEBI:67001	0	9, 10, 11, 12
CHEBI:67000	0	9, 10, 11
CHEBI:67033	0	10, 11, 12
CHEBI:67034	0	10, 11, 12
CHEBI:67035	0	10, 11, 12
CHEBI:67036	0	6, 8, 9, 10
CHEBI:2663	0	7, 8, 9, 10, 11, 12
CHEBI:67030	0	10, 11, 12
CHEBI:2665	0	10, 11
CHEBI:67031	0	9, 10, 11, 12, 13
CHEBI:67032	2	6, 8, 9, 10
CHEBI:2666	0	8, 10, 11
CHEBI:2668	2	7, 8, 9, 10, 11
CHEBI:2669	0	7
CHEBI:57521	0	6, 8, 9, 10
CHEBI:271436	0	9, 10, 11
CHEBI:57520	0	7
CHEBI:57511	0	7, 8, 10
CHEBI:57512	0	8, 9, 10, 11
CHEBI:57513	0	6, 8, 9, 10
CHEBI:57514	0	6
CHEBI:57515	0	7
CHEBI:57516	0	8, 9, 11
CHEBI:57517	0	6, 8, 9, 10
CHEBI:57518	0	8, 10, 11, 12
CHEBI:57519	0	8, 9, 10, 11
CHEBI:67027	0	10, 11, 12
CHEBI:67026	0	9, 10, 11, 12, 13
CHEBI:67029	0	10, 11, 12
CHEBI:67028	0	10, 11, 12
CHEBI:67024	0	10, 11, 12
CHEBI:67025	0	10, 11, 12
CHEBI:2673	0	11, 12, 13
CHEBI:67022	2	9, 10, 12
CHEBI:2670	0	9, 10, 11, 12, 14
CHEBI:67023	0	10, 11, 12
CHEBI:67020	0	9, 10, 11
CHEBI:2676	0	16, 18, 10, 11, 12, 13, 14, 15
CHEBI:67021	0	10, 11, 12
CHEBI:2674	0	7, 8, 9, 10
CHEBI:2675	0	8, 9, 10, 11
CHEBI:2679	3	10, 11
CHEBI:57532	0	7
CHEBI:57531	0	6, 8, 9, 11
CHEBI:57530	0	7, 8, 10
CHEBI:57524	0	7, 9, 10, 11
CHEBI:57525	0	6, 8, 9, 10
CHEBI:57522	0	6
CHEBI:57523	0	6, 8, 9, 10
CHEBI:57528	0	8, 9, 11
CHEBI:57529	0	7, 8, 9, 10, 11
CHEBI:57526	0	6, 8, 9, 10
CHEBI:57527	0	7, 9, 10, 11
CHEBI:67019	0	9, 10, 11
CHEBI:67018	0	9, 10, 11
CHEBI:67017	0	9, 10, 11
CHEBI:67016	7	10, 11, 12, 13
CHEBI:67015	0	9, 10, 11, 12
CHEBI:67051	2	6, 8, 9, 10
CHEBI:67052	0	6, 8, 9, 10
CHEBI:67053	0	11, 12, 13, 14, 15
CHEBI:67054	0	11, 12, 13, 14, 15
CHEBI:67055	0	11, 12, 13, 14, 15
CHEBI:67056	0	11, 12, 13, 14, 15
CHEBI:67057	0	11, 12, 13, 14, 15
CHEBI:2640	0	9, 10
CHEBI:67058	0	11, 12, 13, 14, 15
CHEBI:67050	0	8
CHEBI:67049	0	7, 8
CHEBI:67048	0	10, 11, 12
CHEBI:67042	0	10, 11, 12
CHEBI:2654	2	8, 9, 10, 11, 12
CHEBI:67043	0	10, 11, 12
CHEBI:67040	0	8
CHEBI:67041	0	10, 11, 12
CHEBI:2653	0	9, 10, 12
CHEBI:67046	0	10, 11, 12
CHEBI:67047	0	10, 11, 12
CHEBI:2651	34	9, 10, 11, 13
CHEBI:67044	0	10, 11, 12
CHEBI:67045	0	10, 11, 12
CHEBI:57510	0	7, 9, 10, 11
CHEBI:2659	0	3
CHEBI:57506	0	8, 9, 10, 11
CHEBI:57504	0	7
CHEBI:57505	0	7, 9, 10
CHEBI:57502	0	6, 8, 9, 10
CHEBI:57503	0	8
CHEBI:57501	0	7
CHEBI:67039	0	8, 9, 10, 11
CHEBI:67037	0	9, 10, 11, 12
CHEBI:57508	0	6, 8, 9, 10
CHEBI:57509	0	8, 9, 10, 11
CHEBI:41595	0	10, 11, 12, 13
CHEBI:57558	0	8, 9, 10, 11, 12, 13
CHEBI:57557	0	6, 7, 8, 9, 10
CHEBI:57556	0	8, 9, 11
CHEBI:57555	0	7
CHEBI:57559	0	6, 8, 9, 10
CHEBI:34085	0	10, 11, 12, 14
CHEBI:57560	56	8, 9, 11
CHEBI:34084	0	10, 11, 12, 14
CHEBI:57561	0	8, 9, 11
CHEBI:34087	0	11, 12, 13, 14
CHEBI:34086	0	17, 16, 18, 13, 14, 15
CHEBI:57564	0	7, 9, 10, 11
CHEBI:57565	0	7
CHEBI:57562	0	8, 9, 11
CHEBI:57563	0	7
CHEBI:34081	0	16, 11, 12, 13, 14, 15
CHEBI:34080	0	11, 12, 13, 14, 15
CHEBI:34083	0	11, 12, 13, 14, 15
CHEBI:34082	0	16, 12, 13, 14, 15
CHEBI:57567	0	6, 7, 8, 9, 10
CHEBI:57566	0	6, 8, 9, 10
